region,risk_aversion,utility,optimal_y,risk_free_weight,product_category,citi_products
ang mo kio,2.16,0.1173,0.3424282270436115,0.6575717729563886,2,"['Money Market: Offshore', 'Credit Card Cross-Sell', 'Mortgage']"
bedok,1.9500000000000004,0.1175625,0.37930511303292347,0.6206948869670765,4,"['Fixed Income Fund', 'MGM Cards', 'Pay With Points', 'PayAll']"
bishan,1.7400000000000002,0.117825,0.4250833163300005,0.5749166836699995,6,"['Multi Asset Class Funds', 'Equity Fund', 'Long Term Equity Fund', 'Foreign Investment Fund']"
boon lay,0.0,0.12,0.0,0.0,0,"['LOP', 'Travel Insurance', 'EPP']"
bukit batok,1.9800000000000004,0.11752499999999999,0.37355806586575796,0.626441934134242,4,"['Fixed Income Fund', 'MGM Cards', 'Pay With Points', 'PayAll']"
bukit merah,2.16,0.1173,0.3424282270436115,0.6575717729563886,2,"['Money Market: Offshore', 'Credit Card Cross-Sell', 'Mortgage']"
choa chu kang,1.8000000000000003,0.11775,0.4109138724523338,0.5890861275476662,5,"['Mixed Fund', 'Foreign Investment Fund', 'Segment Upgrade/Slideback', 'AUM Top Up']"
bukit panjang,1.9080000000000004,0.117615,0.3876545966531451,0.6123454033468549,4,"['Fixed Income Fund', 'MGM Cards', 'Pay With Points', 'PayAll']"
jurong east,2.0220000000000002,0.1174725,0.3657986995124633,0.6342013004875366,3,"['E Brokerage', 'Bonds', 'Government Bond Fund']"
queenstown,2.0100000000000002,0.1174875,0.36798257234537357,0.6320174276546264,3,"['E Brokerage', 'Bonds', 'Government Bond Fund']"
jurong west,2.04,0.11745,0.36257106392852984,0.6374289360714702,3,"['E Brokerage', 'Bonds', 'Government Bond Fund']"
bukit timah,1.3200000000000003,0.11835,0.5603370987986369,0.4396629012013631,6,"['Multi Asset Class Funds', 'Equity Fund', 'Long Term Equity Fund', 'Foreign Investment Fund']"
central water catchment,0.0,0.12,0.0,0.0,0,"['LOP', 'Travel Insurance', 'EPP']"
changi,0.8460000000000001,0.11894249999999999,0.8742848350049656,0.12571516499503443,8,"['Alterative Investment', 'MF IPB', 'CPC Cross-Sell', 'Insurance IPB']"
changi bay,0.0,0.12,0.0,0.0,0,"['LOP', 'Travel Insurance', 'EPP']"
tengah,0.0,0.12,0.0,0.0,0,"['LOP', 'Travel Insurance', 'EPP']"
clementi,2.04,0.11745,0.36257106392852984,0.6374289360714702,3,"['E Brokerage', 'Bonds', 'Government Bond Fund']"
geylang,2.16,0.1173,0.3424282270436115,0.6575717729563886,2,"['Money Market: Offshore', 'Credit Card Cross-Sell', 'Mortgage']"
hougang,1.9200000000000004,0.1176,0.3852317554240629,0.614768244575937,4,"['Fixed Income Fund', 'MGM Cards', 'Pay With Points', 'PayAll']"
pioneer,0.0,0.12,0.0,0.0,0,"['LOP', 'Travel Insurance', 'EPP']"
punggol,1.9200000000000004,0.1176,0.3852317554240629,0.614768244575937,4,"['Fixed Income Fund', 'MGM Cards', 'Pay With Points', 'PayAll']"
seletar,0.24000000000000005,0.1197,3.0818540433925032,-2.0818540433925032,9,"['Very High Risk Investment', 'CTG Cross-Sell', 'NBO AUM', 'Top Up IPB', 'NBO MGM IPB']"
sembawang,1.8000000000000003,0.11775,0.4109138724523338,0.5890861275476662,5,"['Mixed Fund', 'Foreign Investment Fund', 'Segment Upgrade/Slideback', 'AUM Top Up']"
sengkang,1.8300000000000003,0.1177125,0.40417757946131194,0.5958224205386881,5,"['Mixed Fund', 'Foreign Investment Fund', 'Segment Upgrade/Slideback', 'AUM Top Up']"
serangoon,1.6920000000000002,0.11788499999999999,0.4371424175024828,0.5628575824975173,6,"['Multi Asset Class Funds', 'Equity Fund', 'Long Term Equity Fund', 'Foreign Investment Fund']"
simpang,0.0,0.12,0.0,0.0,0,"['LOP', 'Travel Insurance', 'EPP']"
southern islands,0.0,0.12,0.0,0.0,0,"['LOP', 'Travel Insurance', 'EPP']"
sungei kadut,0.12000000000000002,0.11985,6.1637080867850065,-5.1637080867850065,9,"['Very High Risk Investment', 'CTG Cross-Sell', 'NBO AUM', 'Top Up IPB', 'NBO MGM IPB']"
tampines,2.2199999999999998,0.117225,0.33317341009648693,0.6668265899035131,1,"['Retail Product Cross-Sell', 'Money Market Fund: Local', 'MGM Retail']"
tanglin,1.2600000000000002,0.11842499999999999,0.5870198177890482,0.4129801822109518,7,"['Sectorial Fund', 'FX', 'CTP Cross-Sell']"
toa payoh,2.1,0.117375,0.352211890673429,0.6477881093265709,2,"['Money Market: Offshore', 'Credit Card Cross-Sell', 'Mortgage']"
tuas,0.0,0.12,0.0,0.0,0,"['LOP', 'Travel Insurance', 'EPP']"
western islands,0.0,0.12,0.0,0.0,0,"['LOP', 'Travel Insurance', 'EPP']"
western water catchment,0.0,0.12,0.0,0.0,0,"['LOP', 'Travel Insurance', 'EPP']"
woodlands,2.0100000000000007,0.1174875,0.3679825723453735,0.6320174276546264,3,"['E Brokerage', 'Bonds', 'Government Bond Fund']"
yishun,2.0700000000000003,0.11741249999999999,0.3573164108281164,0.6426835891718836,2,"['Money Market: Offshore', 'Credit Card Cross-Sell', 'Mortgage']"
downtown core,1.11,0.1186125,0.6663468201929738,0.33365317980702625,7,"['Sectorial Fund', 'FX', 'CTP Cross-Sell']"
marina east,0.0,0.12,0.0,0.0,0,"['LOP', 'Travel Insurance', 'EPP']"
marina south,0.0,0.12,0.0,0.0,0,"['LOP', 'Travel Insurance', 'EPP']"
museum,0.0,0.12,0.0,0.0,0,"['LOP', 'Travel Insurance', 'EPP']"
newton,0.7200000000000001,0.1191,1.0272846811308345,-0.027284681130834487,8,"['Alterative Investment', 'MF IPB', 'CPC Cross-Sell', 'Insurance IPB']"
orchard,0.12000000000000002,0.11985,6.1637080867850065,-5.1637080867850065,9,"['Very High Risk Investment', 'CTG Cross-Sell', 'NBO AUM', 'Top Up IPB', 'NBO MGM IPB']"
outram,2.16,0.1173,0.3424282270436115,0.6575717729563886,2,"['Money Market: Offshore', 'Credit Card Cross-Sell', 'Mortgage']"
kallang,2.22,0.117225,0.3331734100964869,0.6668265899035131,1,"['Retail Product Cross-Sell', 'Money Market Fund: Local', 'MGM Retail']"
lim chu kang,0.0,0.12,0.0,0.0,0,"['LOP', 'Travel Insurance', 'EPP']"
mandai,0.6600000000000001,0.11917499999999999,1.1206741975972738,-0.12067419759727382,8,"['Alterative Investment', 'MF IPB', 'CPC Cross-Sell', 'Insurance IPB']"
marine parade,1.8000000000000003,0.11775,0.4109138724523338,0.5890861275476662,5,"['Mixed Fund', 'Foreign Investment Fund', 'Segment Upgrade/Slideback', 'AUM Top Up']"
north-eastern islands,0.0,0.12,0.0,0.0,0,"['LOP', 'Travel Insurance', 'EPP']"
novena,1.7400000000000002,0.117825,0.4250833163300005,0.5749166836699995,6,"['Multi Asset Class Funds', 'Equity Fund', 'Long Term Equity Fund', 'Foreign Investment Fund']"
pasir ris,1.7700000000000002,0.11778749999999999,0.4178785143583056,0.5821214856416944,5,"['Mixed Fund', 'Foreign Investment Fund', 'Segment Upgrade/Slideback', 'AUM Top Up']"
paya lebar,0.0,0.12,0.0,0.0,0,"['LOP', 'Travel Insurance', 'EPP']"
river valley,0.6600000000000001,0.11917499999999999,1.1206741975972738,-0.12067419759727382,8,"['Alterative Investment', 'MF IPB', 'CPC Cross-Sell', 'Insurance IPB']"
rochor,1.11,0.1186125,0.6663468201929738,0.33365317980702625,7,"['Sectorial Fund', 'FX', 'CTP Cross-Sell']"
singapore river,0.6600000000000001,0.11917499999999999,1.1206741975972738,-0.12067419759727382,8,"['Alterative Investment', 'MF IPB', 'CPC Cross-Sell', 'Insurance IPB']"
straits view,0.0,0.12,0.0,0.0,0,"['LOP', 'Travel Insurance', 'EPP']"
