region,risk_aversion,utility,optimal_y,risk_free_weight,product_category,citi_products,graph_1_x,graph_1_y,graph_2_x,graph_2_y
ang mo kio,2.16,0.1173,0.3424282270436115,0.6575717729563886,2,"['Money Market: Offshore', 'Credit Card Cross-Sell', 'Mortgage']","[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1]","[0.07, 0.07426992000000002, 0.07707968000000001, 0.07842927999999999, 0.07831872, 0.076748, 0.07371712, 0.06922608, 0.06327487999999998, 0.05586351999999998, 0.04699199999999998]","[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]","[0.07, 0.07108, 0.07432000000000001, 0.07972000000000001, 0.08728000000000001, 0.097, 0.10888, 0.12292, 0.13912000000000002, 0.15748000000000004, 0.17800000000000002]"
bedok,1.9500000000000004,0.1175625,0.37930511303292347,0.6206948869670765,4,"['Fixed Income Fund', 'MGM Cards', 'Pay With Points', 'PayAll']","[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1]","[0.07, 0.07434090000000002, 0.07736360000000002, 0.07906809999999999, 0.0794544, 0.0785225, 0.0762724, 0.0727041, 0.06781759999999998, 0.06161289999999998, 0.05408999999999997]","[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]","[0.07, 0.07097500000000001, 0.07390000000000001, 0.07877500000000001, 0.08560000000000001, 0.09437500000000001, 0.10510000000000001, 0.11777500000000002, 0.13240000000000002, 0.14897500000000002, 0.16750000000000004]"
bishan,1.7400000000000002,0.117825,0.4250833163300005,0.5749166836699995,6,"['Multi Asset Class Funds', 'Equity Fund', 'Long Term Equity Fund', 'Foreign Investment Fund']","[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1]","[0.07, 0.07441188000000001, 0.07764752000000001, 0.07970691999999999, 0.08059008, 0.080297, 0.07882768000000001, 0.07618211999999999, 0.07236031999999998, 0.06736227999999998, 0.061187999999999985]","[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]","[0.07, 0.07087, 0.07348, 0.07783000000000001, 0.08392000000000001, 0.09175000000000001, 0.10132000000000001, 0.11263000000000001, 0.12568000000000001, 0.14047000000000004, 0.15700000000000003]"
boon lay,0.0,0.12,0.0,0.0,0,"['LOP', 'Travel Insurance', 'EPP']","[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1]","[0.07, 0.07500000000000001, 0.08000000000000002, 0.08499999999999999, 0.09, 0.095, 0.1, 0.105, 0.11, 0.11499999999999999, 0.12]","[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]","[0.07, 0.07, 0.07, 0.07, 0.07, 0.07, 0.07, 0.07, 0.07, 0.07, 0.07]"
bukit batok,1.9800000000000004,0.11752499999999999,0.37355806586575796,0.626441934134242,4,"['Fixed Income Fund', 'MGM Cards', 'Pay With Points', 'PayAll']","[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1]","[0.07, 0.07433076000000001, 0.07732304000000001, 0.07897683999999999, 0.07929215999999999, 0.07826899999999999, 0.07590736000000001, 0.07220723999999998, 0.06716863999999997, 0.060791559999999974, 0.05307599999999997]","[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]","[0.07, 0.07099000000000001, 0.07396000000000001, 0.07891000000000001, 0.08584000000000001, 0.09475000000000001, 0.10564000000000001, 0.11851, 0.13336000000000003, 0.15019000000000005, 0.16900000000000004]"
bukit merah,2.16,0.1173,0.3424282270436115,0.6575717729563886,2,"['Money Market: Offshore', 'Credit Card Cross-Sell', 'Mortgage']","[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1]","[0.07, 0.07426992000000002, 0.07707968000000001, 0.07842927999999999, 0.07831872, 0.076748, 0.07371712, 0.06922608, 0.06327487999999998, 0.05586351999999998, 0.04699199999999998]","[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]","[0.07, 0.07108, 0.07432000000000001, 0.07972000000000001, 0.08728000000000001, 0.097, 0.10888, 0.12292, 0.13912000000000002, 0.15748000000000004, 0.17800000000000002]"
choa chu kang,1.8000000000000003,0.11775,0.4109138724523338,0.5890861275476662,5,"['Mixed Fund', 'Foreign Investment Fund', 'Segment Upgrade/Slideback', 'AUM Top Up']","[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1]","[0.07, 0.07439160000000002, 0.07756640000000001, 0.0795244, 0.08026559999999999, 0.07979, 0.0780976, 0.07518839999999999, 0.07106239999999998, 0.06571959999999998, 0.05915999999999998]","[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]","[0.07, 0.0709, 0.07360000000000001, 0.0781, 0.08440000000000002, 0.09250000000000001, 0.10240000000000002, 0.11410000000000001, 0.12760000000000002, 0.14290000000000003, 0.16000000000000003]"
bukit panjang,1.9080000000000004,0.117615,0.3876545966531451,0.6123454033468549,4,"['Fixed Income Fund', 'MGM Cards', 'Pay With Points', 'PayAll']","[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1]","[0.07, 0.07435509600000001, 0.07742038400000001, 0.07919586399999999, 0.079681536, 0.0788774, 0.076783456, 0.07339970399999998, 0.06872614399999999, 0.06276277599999998, 0.05550959999999998]","[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]","[0.07, 0.070954, 0.073816, 0.078586, 0.085264, 0.09385000000000002, 0.10434400000000002, 0.11674600000000002, 0.13105600000000003, 0.14727400000000004, 0.16540000000000005]"
jurong east,2.0220000000000002,0.1174725,0.3657986995124633,0.6342013004875366,3,"['E Brokerage', 'Bonds', 'Government Bond Fund']","[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1]","[0.07, 0.07431656400000002, 0.07726625600000002, 0.07884907599999999, 0.079065024, 0.0779141, 0.075396304, 0.07151163599999999, 0.06626009599999999, 0.05964168399999998, 0.05165639999999998]","[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]","[0.07, 0.071011, 0.07404400000000001, 0.079099, 0.08617600000000002, 0.09527500000000001, 0.10639600000000002, 0.119539, 0.13470400000000005, 0.15189100000000005, 0.17110000000000003]"
queenstown,2.0100000000000002,0.1174875,0.36798257234537357,0.6320174276546264,3,"['E Brokerage', 'Bonds', 'Government Bond Fund']","[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1]","[0.07, 0.07432062, 0.07728248000000001, 0.07888558, 0.07912991999999999, 0.0780155, 0.07554232, 0.07171037999999999, 0.06651967999999998, 0.05997021999999998, 0.05206199999999998]","[0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]","[0.07, 0.07100500000000001, 0.07402, 0.079045, 0.08608000000000002, 0.09512500000000002, 0.10618000000000001, 0.11924500000000002, 0.13432000000000002, 0.151405, 0.17050000000000004]"
